subID,sex,age
HCD0042420,1,220
HCD0630134,1,222
HCD1988687,0,240
HCD0041822,1,209
HCD0581652,0,163
HCD0277447,1,125
HCD1886477,0,178
HCD2811552,1,164
HCD0008117,0,192
HCD2903759,1,234
HCD0798273,0,141
HCD0664656,1,122
HCD1826661,0,250
HCD1404231,0,173
HCD2957277,0,209
HCD2565664,0,240
HCD2483561,0,226
HCD2062537,1,157
HCD1847972,0,249
HCD0145733,0,238
HCD0311320,1,249
HCD2737869,0,194
HCD2504038,0,166
HCD1930353,1,172
HCD0215829,1,210
HCD1946469,1,160
HCD1961263,0,262
HCD2828569,0,119
HCD0559760,0,225
HCD1801140,1,204
HCD2751560,0,178
HCD0185442,1,187
HCD1111822,0,190
HCD0684460,0,113
HCD2785678,0,203
HCD0777265,0,157
HCD0461844,1,205
HCD2990073,0,163
HCD1039032,1,168
HCD1969986,0,219
HCD0772760,0,157
HCD0185644,1,142
HCD1553551,0,156
HCD2905460,1,175
HCD2939275,0,195
HCD0808654,0,126
HCD1119030,0,121
HCD1686267,1,211
HCD0372542,0,262
HCD2833461,0,119
HCD1594767,0,149
HCD2164242,1,121
HCD2930055,0,199
HCD0294245,0,202
HCD1350638,0,147
HCD2093245,1,257
HCD2897184,1,177
HCD2795479,0,143
HCD0551239,0,165
HCD0968878,0,242
HCD1872971,0,198
HCD2256651,0,183
HCD2761967,0,132
HCD2556158,1,260
HCD1502635,0,227
HCD1042223,0,190
HCD2936875,0,157
HCD1612844,0,212
HCD0394350,0,243
HCD2496570,1,206
HCD1504437,0,194
HCD1928871,0,130
HCD2310328,0,250
HCD2860262,0,255
HCD2304737,0,160
HCD2134031,0,217
HCD0378150,1,261
HCD1445245,1,183
HCD1294755,1,102
HCD2342745,0,144
HCD1742958,0,165
HCD2618053,1,184
HCD2109638,1,197
HCD0626446,0,258
HCD0360838,1,203
HCD1071634,1,242
HCD0498968,1,176
HCD0960155,1,146
HCD0514738,0,188
HCD0154431,1,130
HCD1949879,1,242
HCD0338744,0,161
HCD1409342,0,240
HCD0802440,1,168
HCD1237844,1,262
HCD0370639,0,205
HCD2741961,1,179
HCD0353538,0,120
HCD1610436,0,158
HCD0676764,0,249
HCD0114419,0,180
HCD0697772,1,233
HCD1003617,0,221
HCD0328842,1,241
HCD2797584,0,216
HCD1681257,0,197
HCD0425335,1,136
HCD1007221,1,227
HCD0643345,1,177
HCD2109234,0,185
HCD0298758,0,196
HCD0904650,1,138
HCD1842558,0,172
HCD1994884,0,207
