group_effect,ind_effect,group_effect_norm,ind_effect_norm,sa_rank
0.634134854692978,0.00510468627498017,0.992014439114247,0.00798556088575261,182
0.668135948454355,0.00944775299350609,0.986056699750425,0.0139433002495752,206
0.752324940612939,0.010616452857265,0.98608483830065,0.0139151616993496,109.5
0.785334845535482,0.0110365558301503,0.986141446301029,0.0138585536989709,75
0.792300373176068,0.0112099347674721,0.986048797810495,0.0139512021895054,53.5
0.71056036934192,0.0159917506044764,0.977989534177319,0.0220104658226808,64
0.655999381727581,0.010183638066536,0.984713452964197,0.0152865470358029,126
0.736042804787691,0.00940125117744495,0.987388388032321,0.0126116119676788,135
0.687729472785413,0.0143336999667234,0.979583461256721,0.020416538743279,24
0.792593013658115,0.00836611473381543,0.989554879347449,0.0104451206525505,28
0.805247949244544,0.00883044606823802,0.98915283083413,0.0108471691658703,22
0.436781134508847,0.0111943593166338,0.975011223892986,0.0249887761070135,60
0.602842865875981,0.0158908530464454,0.974317137468893,0.0256828625311073,73
0.691559678865408,0.00878330411777006,0.987458567685855,0.0125414323141452,94
0.691471103155088,0.000455032038462311,0.99934236905456,0.000657630945440478,8
0.719890549579633,0.0152734652903186,0.979224411177116,0.0207755888228839,44
0.678222885003093,0.00655755727954577,0.990423854312067,0.00957614568793304,91.5
0.771199314470036,0.000831222429316436,0.998923329596968,0.001076670403032,3
0.655872201448545,0.0192772841238406,0.971447383822714,0.0285526161772862,76.5
0.687093070594959,0.00971137090347929,0.986062989376768,0.0139370106232325,103
0.790226198917126,0.00399504211765811,0.994969862412074,0.00503013758792576,1
0.770804163001057,0.0135493510668425,0.982725453735049,0.0172745462649506,12
0.763323240034003,0.0105072246029425,0.98642180027395,0.01357819972605,139
0.781037074952651,0.0115676222860478,0.985405559257537,0.0145944407424627,9
0.784292272140083,0.00986245259013174,0.987581195095852,0.0124188049041478,16
0.732249374585464,0.0221050196423814,0.970696770892403,0.0293032291075974,29.5
0.780574079365804,0.0155359102704489,0.980485221297691,0.0195147787023089,87
0.692553921965145,0.0214263184067985,0.969990320186401,0.0300096798135991,136
0.780754601433224,0.0159756761864431,0.979948451018866,0.0200515489811339,36
0.704609706464176,0.0222898563549726,0.969335713632121,0.0306642863678792,58
0.702319606417557,0.0265837495521397,0.963529116261546,0.036470883738454,81
0.707071165071657,0.0164992434391898,0.977197459645778,0.0228025403542225,189
0.717758604596876,0.00775238963364389,0.989314580074881,0.0106854199251193,100
0.747207790464486,0.00811374661896691,0.989257890553079,0.0107421094469208,177
0.782561112977231,0.0105415037420064,0.986708524824174,0.013291475175826,170
0.766719489684646,0.0104926043707094,0.986499689787429,0.0135003102125713,82
0.668936704483097,0.0100066770108211,0.98526139692414,0.0147386030758601,172
0.711030668057366,0.0138627991194449,0.980876087663701,0.0191239123362986,127
0.784606295961577,0.00737802946076294,0.990684121864623,0.00931587813537656,70
0.780844324248083,0.0123650685539239,0.984411343755973,0.0155886562440271,154
0.75152083185783,0.00999981776185799,0.986868619036329,0.0131313809636705,107
0.740981356454749,0.0174851550855962,0.976946701245799,0.023053298754201,148
0.742011420940538,0.0137327959254377,0.98182877801912,0.0181712219808797,78
0.7164463111824,0.0121067222382879,0.983382510698714,0.0166174893012862,84
0.698445343010299,0.00573283966069116,0.991858822380798,0.00814117761920166,41
0.683683409032657,0.0302289178086426,0.95765738078457,0.0423426192154297,131
0.710183668248177,0.0137321095617229,0.981030791173985,0.0189692088260148,112
0.728831421574029,0.0116374189959851,0.984283715453811,0.0157162845461892,59
0.711351541963387,0.0229923620377928,0.96868992591548,0.0313100740845203,88
0.711142390524636,0.0117882164422114,0.983693847889951,0.0163061521100489,38
0.709973563823784,0.0137273738101339,0.981031703710355,0.0189682962896448,17
0.654549337287433,0.0171525415391032,0.974464056034697,0.025535943965303,68
0.670369742982844,0.011140753743366,0.983652850841061,0.016347149158939,14
0.662643414027081,0.0287956721088098,0.958354000104717,0.0416459998952829,55
0.69964053517255,0.0150482662668047,0.978944309416213,0.021055690583787,42
0.758485831118273,0.0086160920487196,0.988767995766263,0.0112320042337372,118.5
0.680036724970239,0.0150519917816705,0.978345222100558,0.0216547778994416,34
0.724274462349801,0.0114181571226246,0.984479717723942,0.0155202822760581,86
0.691342896077808,0.0116915992508452,0.983369807131043,0.0166301928689567,13
0.715509197884614,0.0124574899529535,0.98288728019965,0.0171127198003505,51
0.669825711790601,0.00805454510765069,0.988118041459851,0.0118819585401492,91.5
0.711721958224061,0.00729984071923195,0.98984753907328,0.0101524609267203,18
0.680862118396204,0.0134327980103047,0.980652604976817,0.0193473950231833,47
0.691348898332252,0.0130727440759597,0.981441876159188,0.0185581238408119,19
0.712203793593403,0.0217117236510688,0.970416590001276,0.0295834099987239,66
0.737344464193146,0.0168015973618479,0.977721030157998,0.0222789698420015,11
0.747834882315274,0.0105854493812734,0.986042766868348,0.0139572331316518,39
