group_effect,ind_effect,group_effect_norm,ind_effect_norm,sa_rank
0.630309708991133,0.00863612090299815,0.986483798001422,0.013516201998578,182
0.57647258584916,0.00793992146073941,0.986413840632386,0.0135861593676144,206
0.763071655081794,0.000515881039971799,0.999324398296766,0.000675601703233582,109.5
0.759513130913419,0.0128779273598729,0.983327192589901,0.0166728074100987,75
0.793946095546427,0.00899840411487629,0.988793242722664,0.0112067572773361,53.5
0.750969723969552,0.00791885653284541,0.989565192129254,0.0104348078707457,64
0.520333037747042,0.00810986731919083,0.984653276179052,0.0153467238209478,126
0.750793671557034,0.00450235767343521,0.994038949631415,0.00596105036858518,135
0.691758576818417,-0.00650937242083871,1.0094992776045,-0.0094992776045049,24
0.813251278394586,0.0109966979337365,0.986658507816152,0.0133414921838475,28
0.813448726372873,0.00593070857684741,0.992761950905918,0.0072380490940822,22
0.544617113518346,0.0180267089755376,0.96796070932471,0.0320392906752896,60
0.603246819204586,0.00601655149865254,0.99012487573033,0.00987512426967008,73
0.716061639707641,0.0167441675328061,0.977150607476952,0.022849392523048,94
0.537496770810319,-0.00871377841563403,1.01647893094324,-0.0164789309432442,8
0.753752770877551,0.00837547845094611,0.98901040807984,0.01098959192016,44
0.751665815914935,0.00474122746911154,0.993731909941108,0.00626809005889215,91.5
0.694738304598443,-0.00211874992886185,1.00305903856537,-0.00305903856536741,3
0.672226770308895,0.020036023460054,0.971057200184095,0.0289427998159052,76.5
0.633609723757193,0.00750936734566898,0.988287094472961,0.0117129055270391,103
0.7856650976381,0.00391328167503047,0.995043833800978,0.0049561661990222,1
0.793472540754077,0.00901727522595863,0.988763377370782,0.0112366226292185,12
0.754533551757692,0.0107178501070235,0.985994341100314,0.0140056588996857,139
0.794363166233013,0.00595256240467334,0.992562232389452,0.0074377676105478,9
0.815975594869263,0.00360208792844952,0.995604946298497,0.00439505370150322,16
0.792435254140613,0.0120391473127768,0.985034766437532,0.0149652335624682,29.5
0.786557073139788,0.00798903374028381,0.989945160298306,0.0100548397016936,87
0.674748129767283,0.00606701909256724,0.991088595630212,0.00891140436978756,136
0.8130611914612,0.00800157257555101,0.990254615206015,0.00974538479398495,36
0.764646889429636,0.0143196657016033,0.98161709818313,0.0183829018168703,58
0.756218501858864,0.0185084460979058,0.976109716918046,0.0238902830819544,81
0.751253399864297,0.005126817386369,0.993221904447734,0.00677809555226635,189
0.740320699937281,0.00837510395453467,0.988813742629517,0.0111862573704832,100
0.786180029096875,0.00569262587817221,0.992811185179325,0.00718881482067542,177
0.818477166387897,0.0040454081640825,0.995081705609982,0.0049182943900184,170
0.822745964960329,0.00553496245220508,0.993317529996138,0.00668247000386179,82
0.703951586958767,0.0129246048793231,0.981970938599336,0.018029061400664,172
0.761335219941305,0.0115577143948588,0.985046163729281,0.0149538362707192,127
0.823285924060588,0.00528785493609907,0.9936181242152,0.00638187578479986,70
0.796479872710434,0.00630264839930961,0.992148996479648,0.00785100352035195,154
0.811987854952101,0.00714178946466248,0.991281246487242,0.00871875351275753,107
0.779034876529365,0.0127824884661977,0.98385677173641,0.0161432282635899,148
0.786637481626069,0.00682397290854386,0.991399742395116,0.0086002576048843,78
0.789677537548564,0.00604525714279769,0.992402810145533,0.00759718985446743,84
0.778186460640701,0.0049737165029099,0.993649170823457,0.00635082917654258,41
0.759281437750231,0.0143993973921711,0.981388452785546,0.0186115472144541,131
0.768985617294339,0.00811692410934495,0.989554886675981,0.0104451133240194,112
0.810404391078089,0.0047944273650522,0.994118701773625,0.00588129822637446,59
0.80808437044394,0.00948491916630334,0.988398635703617,0.0116013642963828,88
0.79678226398789,0.00487420788112813,0.993919829687442,0.00608017031255818,38
0.802358611968368,0.00517197612271458,0.993595318618282,0.0064046813817178,17
0.763314023376278,0.00510244436411311,0.99335979305712,0.00664020694288005,68
0.782381709637621,0.00554385510460687,0.992963986253675,0.00703601374632457,14
0.804844125024008,0.00534208402998737,0.993406350329975,0.00659364967002461,55
0.784678249688441,0.00932972082294992,0.988249839838584,0.0117501601614163,42
0.809010774889585,0.0103411335593299,0.987378886345787,0.0126211136542127,118.5
0.781220739912059,0.0040403925860335,0.994854714669017,0.00514528533098296,34
0.798355962409446,0.0049434889365646,0.993846019777206,0.00615398022279398,86
0.799900222526383,0.00361124906833798,0.995505665823077,0.00449433417692317,13
0.814320423285007,0.00344228506980071,0.995790606450218,0.00420939354978166,51
0.740851591934681,0.0111469779230108,0.985176862869406,0.0148231371305935,91.5
0.805101076325287,0.00588979826847036,0.992737528308909,0.00726247169109108,18
0.795077326613592,0.00966911538651183,0.987984892033222,0.0120151079667782,47
0.783207751625674,0.00761119737244054,0.990375550077444,0.00962444992255576,19
0.799759297635041,0.00974225475034085,0.98796511912592,0.0120348808740799,66
0.807188111838071,0.00363754741281719,0.995513773680796,0.0044862263192039,11
0.822239397737239,0.00542047926911338,0.993450837210184,0.00654916278981562,39
0.789930229119042,0.00809925450081128,0.989850933246134,0.0101490667538662,27
0.589555752030205,0.0132161513688316,0.978074373914402,0.0219256260855982,250
0.638438413618166,0.0190263898522263,0.971060975809205,0.0289390241907955,262
0.684945104539891,0.0050298860750958,0.992710045808164,0.00728995419183611,269
0.575421759903136,0.000288419352236113,0.99949901988426,0.000500980115740106,121
0.704284644532242,0.0112021376760619,0.984343333860778,0.0156566661392224,93
0.735888999311098,0.0159126612868276,0.978833963635872,0.0211660363641281,235.5
0.699416736281556,0.0194262496888318,0.972975670531712,0.0270243294682881,153
0.733511445240631,0.0188742830376875,0.974914086846281,0.0250859131537189,108
